postcode,latitude,longitude,altitude
0200,-35.277272,149.117136,0
0221,-35.201372,149.095065,0
0800,-12.801028,130.955789,0
0801,-12.801028,130.955789,0
0804,-12.432181,130.84331,0
0810,-12.378451,130.877014,0
0810,-12.367769,130.869808,0
0810,-12.376597,130.850489,0
0810,-12.385761,130.873726,0
0810,-12.360865,130.891349,0
0810,-12.39087,130.864144,0
0810,-12.387001,130.879351,0
0810,-12.369175,130.87899,0
0810,-12.382572,130.853877,0
0810,-12.387231,130.864402,0
0810,-12.363913,130.87719,0
0810,-12.379955,130.886362,0
0810,-12.37041,130.888433,0
0811,-12.376597,130.850489,0
0812,-12.400091,130.913672,0
0812,-12.376727,130.900653,0
0812,-12.392528,130.904018,0
0812,-12.396566,130.882733,0
0812,-12.384714,130.897765,0
0814,-12.382572,130.853877,0
0820,-12.410444,130.856124,0
0820,-12.440944,130.856539,0
0820,-12.443893,130.844191,0
0820,-12.430427,130.882375,0
0820,-12.454108,130.822898,0
0820,-12.426947,130.836128,0
0820,-12.423707,130.836623,0
0820,-12.459211,130.830686,0
0820,-12.425888,130.851446,0
0820,-12.432181,130.84331,0
0820,-12.4389,130.843067,0
0820,-12.46303,130.841596,0
0820,-12.425149,130.859165,0
0820,-12.426641,130.882367,0
0820,-12.43754,130.848872,0
0821,-12.426641,130.882367,0
0822,-12.799278,131.131697,0
0822,-12.571462,131.059047,0
0822,-12.715959,130.875404,0
0822,-13.988234,130.402149,0
0822,-14.05834,131.412028,0
0822,-12.316964,131.129559,0
0822,-12.569228,131.237821,0
0822,-12.730838,131.038993,0
0822,-12.086972,134.271016,0
0822,-12.361331,130.876795,0
0822,-12.542204,131.079417,0
0822,-12.646157,131.015033,0
0822,-12.411749,130.948361,0
0822,-11.764711,130.314401,0
0822,-12.414984,132.987357,0
0822,-23.721252,133.884318,0
0822,-12.447299,131.004516,0
0822,-12.742355,130.956082,0
0822,-13.848676,136.428043,0
0822,-14.17407,130.13833,0
0822,-12.433507,130.748017,0
0822,-12.434023,130.84112,0
0822,-12.426641,130.882367,0
0822,-12.419838,130.949418,0
0828,-12.474896,130.907378,0
0828,-12.426825,130.934141,0
0829,-14.460879,132.280002,0
0830,-12.487233,130.972637,0
0830,-12.193006,136.763961,0
0830,-12.480219,130.997607,0
0830,-12.384847,130.872981,0
0830,-12.446554,130.923435,0
0830,-12.511316,130.974467,0
0830,-12.480066,130.984006,0
0830,-12.394902,130.924268,0
0830,-12.504958,130.981903,0
0830,-12.471149,130.984917,0
0831,-12.480066,130.984006,0
0832,-12.492269,130.990891,0
0832,-12.460386,130.837001,0
0832,-12.501969,130.988349,0
0832,-12.501969,130.988349,0
0835,-12.48138,131.029173,0
0835,-12.545626,131.029268,0
0836,-12.525546,131.103025,0
0836,-14.462901,132.280885,0
0837,-12.460094,130.842663,0
0838,-12.709507,130.995407,0
0840,-12.717562,130.351316,0
0840,-12.771275,130.527516,0
